CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
be91543aa019;airflow-db_kap-1;23.97%;178.8MiB / 7.463GiB;2.34%;322MB / 2.28MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.28%;71.5MiB / 7.463GiB;0.94%;11.9MB / 14.2MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.11%;13.73MiB / 7.463GiB;0.18%;210kB / 175kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;75.33%;1.636GiB / 7.463GiB;21.92%;295MB / 326MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;5.52%;284.1MiB / 7.463GiB;3.72%;7.69MB / 7.86MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.10%;1.107GiB / 7.463GiB;14.84%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.94%;181.1MiB / 7.463GiB;2.37%;1.22MB / 1.55MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.10%;164MiB / 7.463GiB;2.15%;191kB / 292MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;18.62%;178.6MiB / 7.463GiB;2.34%;326MB / 2.31MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.65%;71.53MiB / 7.463GiB;0.94%;12MB / 14.3MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.11%;13.73MiB / 7.463GiB;0.18%;210kB / 175kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;75.33%;1.636GiB / 7.463GiB;21.92%;295MB / 326MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;5.52%;284.1MiB / 7.463GiB;3.72%;7.69MB / 7.86MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.10%;1.107GiB / 7.463GiB;14.84%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.94%;181.1MiB / 7.463GiB;2.37%;1.22MB / 1.55MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.10%;164MiB / 7.463GiB;2.15%;191kB / 292MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;18.62%;178.6MiB / 7.463GiB;2.34%;326MB / 2.31MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.65%;71.53MiB / 7.463GiB;0.94%;12MB / 14.3MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.11%;13.73MiB / 7.463GiB;0.18%;210kB / 175kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;79.55%;1.641GiB / 7.463GiB;21.99%;295MB / 331MB;0B / 0B;28
bc99e134b647;airflow-airflow-scheduler-1;3.38%;284.1MiB / 7.463GiB;3.72%;7.7MB / 7.88MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.12%;1.107GiB / 7.463GiB;14.84%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.91%;181.1MiB / 7.463GiB;2.37%;1.23MB / 1.56MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.14%;164MiB / 7.463GiB;2.15%;191kB / 292MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.59%;179MiB / 7.463GiB;2.34%;330MB / 2.34MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.73%;71.49MiB / 7.463GiB;0.94%;12MB / 14.3MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.70%;13.9MiB / 7.463GiB;0.18%;211kB / 177kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;79.55%;1.641GiB / 7.463GiB;21.99%;295MB / 331MB;0B / 0B;28
bc99e134b647;airflow-airflow-scheduler-1;3.38%;284.1MiB / 7.463GiB;3.72%;7.7MB / 7.88MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.12%;1.107GiB / 7.463GiB;14.84%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.91%;181.1MiB / 7.463GiB;2.37%;1.23MB / 1.56MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.14%;164MiB / 7.463GiB;2.15%;191kB / 292MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.59%;179MiB / 7.463GiB;2.34%;330MB / 2.34MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.73%;71.49MiB / 7.463GiB;0.94%;12MB / 14.3MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.70%;13.9MiB / 7.463GiB;0.18%;211kB / 177kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;164.01%;1.664GiB / 7.463GiB;22.29%;301MB / 335MB;0B / 0B;28
bc99e134b647;airflow-airflow-scheduler-1;14.71%;323.3MiB / 7.463GiB;4.23%;7.73MB / 7.91MB;0B / 0B;6
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.107GiB / 7.463GiB;14.83%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.40%;180.8MiB / 7.463GiB;2.37%;1.23MB / 1.57MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.39%;163.9MiB / 7.463GiB;2.14%;194kB / 298MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;23.01%;178.4MiB / 7.463GiB;2.33%;334MB / 2.37MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;6.92%;74.47MiB / 7.463GiB;0.97%;12MB / 14.3MB;0B / 0B;27
931cd589197c;airflow-redis-1;0.15%;13.72MiB / 7.463GiB;0.18%;212kB / 177kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;164.01%;1.664GiB / 7.463GiB;22.29%;301MB / 335MB;0B / 0B;28
bc99e134b647;airflow-airflow-scheduler-1;14.71%;323.3MiB / 7.463GiB;4.23%;7.73MB / 7.91MB;0B / 0B;6
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.107GiB / 7.463GiB;14.83%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.40%;180.8MiB / 7.463GiB;2.37%;1.23MB / 1.57MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.39%;163.9MiB / 7.463GiB;2.14%;194kB / 298MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;23.01%;178.4MiB / 7.463GiB;2.33%;334MB / 2.37MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;6.92%;74.47MiB / 7.463GiB;0.97%;12MB / 14.3MB;0B / 0B;27
931cd589197c;airflow-redis-1;0.15%;13.72MiB / 7.463GiB;0.18%;212kB / 177kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;162.02%;1.685GiB / 7.463GiB;22.57%;302MB / 339MB;0B / 0B;28
bc99e134b647;airflow-airflow-scheduler-1;19.41%;279.3MiB / 7.463GiB;3.65%;7.76MB / 7.94MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.16%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.20%;180.3MiB / 7.463GiB;2.36%;1.24MB / 1.57MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.76%;163.6MiB / 7.463GiB;2.14%;196kB / 299MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;28.10%;177.9MiB / 7.463GiB;2.33%;338MB / 2.4MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;4.66%;71.77MiB / 7.463GiB;0.94%;12.1MB / 14.3MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.29%;13.48MiB / 7.463GiB;0.18%;219kB / 181kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;162.02%;1.685GiB / 7.463GiB;22.57%;302MB / 339MB;0B / 0B;28
bc99e134b647;airflow-airflow-scheduler-1;19.41%;279.3MiB / 7.463GiB;3.65%;7.76MB / 7.94MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.16%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.20%;180.3MiB / 7.463GiB;2.36%;1.24MB / 1.57MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.76%;163.6MiB / 7.463GiB;2.14%;196kB / 299MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;28.10%;177.9MiB / 7.463GiB;2.33%;338MB / 2.4MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;4.66%;71.77MiB / 7.463GiB;0.94%;12.1MB / 14.3MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.29%;13.48MiB / 7.463GiB;0.18%;219kB / 181kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;73.39%;1.628GiB / 7.463GiB;21.81%;306MB / 342MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;4.66%;278.9MiB / 7.463GiB;3.65%;7.78MB / 7.96MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.26%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;2.55%;180.5MiB / 7.463GiB;2.36%;1.24MB / 1.58MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.85%;163.5MiB / 7.463GiB;2.14%;197kB / 303MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;23.23%;177.9MiB / 7.463GiB;2.33%;341MB / 2.42MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.30%;72.99MiB / 7.463GiB;0.96%;12.1MB / 14.4MB;0B / 0B;26
931cd589197c;airflow-redis-1;0.24%;13.56MiB / 7.463GiB;0.18%;219kB / 182kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;73.39%;1.628GiB / 7.463GiB;21.81%;306MB / 342MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;4.66%;278.9MiB / 7.463GiB;3.65%;7.78MB / 7.96MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.26%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;2.55%;180.5MiB / 7.463GiB;2.36%;1.24MB / 1.58MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.85%;163.5MiB / 7.463GiB;2.14%;197kB / 303MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;23.23%;177.9MiB / 7.463GiB;2.33%;341MB / 2.42MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.30%;72.99MiB / 7.463GiB;0.96%;12.1MB / 14.4MB;0B / 0B;26
931cd589197c;airflow-redis-1;0.24%;13.56MiB / 7.463GiB;0.18%;219kB / 182kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;70.95%;1.619GiB / 7.463GiB;21.70%;312MB / 346MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;4.21%;277.3MiB / 7.463GiB;3.63%;7.8MB / 7.98MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.12%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.10%;179.9MiB / 7.463GiB;2.35%;1.25MB / 1.59MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.16%;163.5MiB / 7.463GiB;2.14%;200kB / 309MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;23.87%;177.6MiB / 7.463GiB;2.32%;345MB / 2.45MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.37%;71.27MiB / 7.463GiB;0.93%;12.1MB / 14.4MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.17%;13.32MiB / 7.463GiB;0.17%;220kB / 183kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;70.95%;1.619GiB / 7.463GiB;21.70%;312MB / 346MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;4.21%;277.3MiB / 7.463GiB;3.63%;7.8MB / 7.98MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.12%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.10%;179.9MiB / 7.463GiB;2.35%;1.25MB / 1.59MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.16%;163.5MiB / 7.463GiB;2.14%;200kB / 309MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;23.87%;177.6MiB / 7.463GiB;2.32%;345MB / 2.45MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.37%;71.27MiB / 7.463GiB;0.93%;12.1MB / 14.4MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.17%;13.32MiB / 7.463GiB;0.17%;220kB / 183kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;71.68%;1.617GiB / 7.463GiB;21.67%;312MB / 351MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.47%;277MiB / 7.463GiB;3.62%;7.82MB / 8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.14%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.86%;179.9MiB / 7.463GiB;2.35%;1.25MB / 1.59MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.19%;163.6MiB / 7.463GiB;2.14%;201kB / 309MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;25.17%;177.9MiB / 7.463GiB;2.33%;351MB / 2.49MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.06%;71.28MiB / 7.463GiB;0.93%;12.2MB / 14.4MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.11%;13.32MiB / 7.463GiB;0.17%;220kB / 183kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;71.68%;1.617GiB / 7.463GiB;21.67%;312MB / 351MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.47%;277MiB / 7.463GiB;3.62%;7.82MB / 8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.14%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.86%;179.9MiB / 7.463GiB;2.35%;1.25MB / 1.59MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.19%;163.6MiB / 7.463GiB;2.14%;201kB / 309MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;25.17%;177.9MiB / 7.463GiB;2.33%;351MB / 2.49MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;2.06%;71.28MiB / 7.463GiB;0.93%;12.2MB / 14.4MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.11%;13.32MiB / 7.463GiB;0.17%;220kB / 183kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;75.96%;1.617GiB / 7.463GiB;21.67%;317MB / 355MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;457.03%;326.4MiB / 7.463GiB;4.27%;7.87MB / 8.04MB;0B / 0B;21
ab0ed3240741;airflow-airflow-webserver-1;0.13%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.95%;179.9MiB / 7.463GiB;2.35%;1.26MB / 1.6MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.80%;163.5MiB / 7.463GiB;2.14%;204kB / 314MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;18.11%;178.3MiB / 7.463GiB;2.33%;354MB / 2.52MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;4.58%;71.42MiB / 7.463GiB;0.93%;12.2MB / 14.5MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.14%;13.32MiB / 7.463GiB;0.17%;221kB / 184kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;75.96%;1.617GiB / 7.463GiB;21.67%;317MB / 355MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;457.03%;326.4MiB / 7.463GiB;4.27%;7.87MB / 8.04MB;0B / 0B;21
ab0ed3240741;airflow-airflow-webserver-1;0.13%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.95%;179.9MiB / 7.463GiB;2.35%;1.26MB / 1.6MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.80%;163.5MiB / 7.463GiB;2.14%;204kB / 314MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;18.11%;178.3MiB / 7.463GiB;2.33%;354MB / 2.52MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;4.58%;71.42MiB / 7.463GiB;0.93%;12.2MB / 14.5MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.14%;13.32MiB / 7.463GiB;0.17%;221kB / 184kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;70.25%;1.617GiB / 7.463GiB;21.67%;323MB / 359MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;177.32%;345.5MiB / 7.463GiB;4.52%;8.08MB / 8.23MB;0B / 0B;6
ab0ed3240741;airflow-airflow-webserver-1;0.12%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.14%;179.9MiB / 7.463GiB;2.35%;1.26MB / 1.61MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.07%;163.5MiB / 7.463GiB;2.14%;207kB / 320MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;27.86%;178.7MiB / 7.463GiB;2.34%;359MB / 2.55MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;21.14%;73.2MiB / 7.463GiB;0.96%;12.4MB / 14.7MB;0B / 0B;26
931cd589197c;airflow-redis-1;0.13%;13.32MiB / 7.463GiB;0.17%;222kB / 184kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;70.25%;1.617GiB / 7.463GiB;21.67%;323MB / 359MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;177.32%;345.5MiB / 7.463GiB;4.52%;8.08MB / 8.23MB;0B / 0B;6
ab0ed3240741;airflow-airflow-webserver-1;0.12%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.14%;179.9MiB / 7.463GiB;2.35%;1.26MB / 1.61MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.07%;163.5MiB / 7.463GiB;2.14%;207kB / 320MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;27.86%;178.7MiB / 7.463GiB;2.34%;359MB / 2.55MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;21.14%;73.2MiB / 7.463GiB;0.96%;12.4MB / 14.7MB;0B / 0B;26
931cd589197c;airflow-redis-1;0.13%;13.32MiB / 7.463GiB;0.17%;222kB / 184kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;72.93%;1.617GiB / 7.463GiB;21.67%;323MB / 364MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;171.41%;320.5MiB / 7.463GiB;4.19%;8.35MB / 8.46MB;0B / 0B;6
ab0ed3240741;airflow-airflow-webserver-1;0.09%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.95%;179.9MiB / 7.463GiB;2.35%;1.27MB / 1.61MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.25%;163.5MiB / 7.463GiB;2.14%;208kB / 320MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;24.34%;179.1MiB / 7.463GiB;2.34%;363MB / 2.58MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;25.62%;74.88MiB / 7.463GiB;0.98%;12.6MB / 15MB;0B / 0B;27
931cd589197c;airflow-redis-1;0.14%;13.45MiB / 7.463GiB;0.18%;223kB / 185kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;72.93%;1.617GiB / 7.463GiB;21.67%;323MB / 364MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;171.41%;320.5MiB / 7.463GiB;4.19%;8.35MB / 8.46MB;0B / 0B;6
ab0ed3240741;airflow-airflow-webserver-1;0.09%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.95%;179.9MiB / 7.463GiB;2.35%;1.27MB / 1.61MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.25%;163.5MiB / 7.463GiB;2.14%;208kB / 320MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;24.34%;179.1MiB / 7.463GiB;2.34%;363MB / 2.58MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;25.62%;74.88MiB / 7.463GiB;0.98%;12.6MB / 15MB;0B / 0B;27
931cd589197c;airflow-redis-1;0.14%;13.45MiB / 7.463GiB;0.18%;223kB / 185kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;72.93%;1.617GiB / 7.463GiB;21.67%;323MB / 364MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;44.95%;283.9MiB / 7.463GiB;3.71%;8.43MB / 8.53MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.89%;179.9MiB / 7.463GiB;2.35%;1.27MB / 1.62MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.19%;163.5MiB / 7.463GiB;2.14%;210kB / 325MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.46%;179.4MiB / 7.463GiB;2.35%;368MB / 2.61MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;9.16%;71.23MiB / 7.463GiB;0.93%;12.7MB / 15.1MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.14%;13.32MiB / 7.463GiB;0.17%;223kB / 185kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;69.47%;1.622GiB / 7.463GiB;21.74%;328MB / 368MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;44.95%;283.9MiB / 7.463GiB;3.71%;8.43MB / 8.53MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.89%;179.9MiB / 7.463GiB;2.35%;1.27MB / 1.62MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.19%;163.5MiB / 7.463GiB;2.14%;210kB / 325MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.46%;179.4MiB / 7.463GiB;2.35%;368MB / 2.61MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;9.16%;71.23MiB / 7.463GiB;0.93%;12.7MB / 15.1MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.14%;13.32MiB / 7.463GiB;0.17%;223kB / 185kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;69.47%;1.622GiB / 7.463GiB;21.74%;328MB / 368MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;44.95%;283.9MiB / 7.463GiB;3.71%;8.43MB / 8.53MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.89%;179.9MiB / 7.463GiB;2.35%;1.27MB / 1.62MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.19%;163.5MiB / 7.463GiB;2.14%;210kB / 325MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.46%;179.4MiB / 7.463GiB;2.35%;368MB / 2.61MB;0B / 0B;9
8a393fb6dae8;airflow-postgres-1;9.16%;71.23MiB / 7.463GiB;0.93%;12.7MB / 15.1MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.14%;13.32MiB / 7.463GiB;0.17%;223kB / 185kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;70.72%;1.612GiB / 7.463GiB;21.60%;334MB / 373MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.98%;283.9MiB / 7.463GiB;3.71%;8.44MB / 8.56MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.13%;1.106GiB / 7.463GiB;14.82%;4.77MB / 2.84MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.02%;179.9MiB / 7.463GiB;2.35%;1.28MB / 1.62MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.96%;163.5MiB / 7.463GiB;2.14%;214kB / 331MB;0B / 0B;21
